id	Gemeindekennziffer	Gemeindename	Ortsname	PLZ	Bezirk	Bundesland	Lat	Lon	Einwohner_2001	KFZ-Kennzeichen	Fläche_km2	Seehöhe
43000001	10101	Eisenstadt	Eisenstadt	7000	Eisenstadt (Stadt)	Burgenland	47.8500000	16.5166667	7462	E	42.91	182
43000002	10101	Eisenstadt	Kleinhöflein im Burgenland	7000	Eisenstadt (Stadt)	Burgenland	47.8333333	16.5000000	1870	E	42.91	182
43000003	10101	Eisenstadt	Sankt Georgen am Leithagebirge	7000	Eisenstadt (Stadt)	Burgenland	47.8500000	16.5500000	2002	E	42.91	182
43000004	10201	Rust	Rust	7071	Rust (Stadt)	Burgenland	47.8000000	16.6666667	1714	E	20.01	123
43000005	10301	Breitenbrunn	Breitenbrunn	7091	Eisenstadt-Umgebung	Burgenland	47.9333333	16.7166667	1702	EU	25.75	136
43000006	10302	Donnerskirchen	Donnerskirchen	7082	Eisenstadt-Umgebung	Burgenland	47.9000000	16.6333333	1649	EU	33.87	193
43000007	10303	Großhöflein	Großhöflein	7051	Eisenstadt-Umgebung	Burgenland	47.8333333	16.4833333	1853	EU	14.25	194
43000008	10304	Hornstein	Hornstein	2491, 7053	Eisenstadt-Umgebung	Burgenland	47.8666667	16.4333333	2640	EU	37.07	273
43000009	10305	Klingenbach	Klingenbach	7013	Eisenstadt-Umgebung	Burgenland	47.7500000	16.5500000	1189	EU	4.82	233
43000010	10306	Leithaprodersdorf	Leithaprodersdorf	2443	Eisenstadt-Umgebung	Burgenland	47.9333333	16.4666667	1181	EU	18.95	196
43000011	10307	Mörbisch am See	Mörbisch am See	7072	Eisenstadt-Umgebung	Burgenland	47.7500000	16.6666667	2323	EU	28.05	122
43000012	10308	Müllendorf	Müllendorf	7052	Eisenstadt-Umgebung	Burgenland	47.8333333	16.4500000	1229	EU	12.80	232
43000013	10309	Neufeld an der Leitha	Neufeld an der Leitha	2491	Eisenstadt-Umgebung	Burgenland	47.8500000	16.3666667	2948	EU	4.24	231
43000014	10310	Oggau am Neusiedler See	Oggau am Neusiedler See	7063	Eisenstadt-Umgebung	Burgenland	47.8333333	16.6666667	1811	EU	52.19	130
43000015	10311	Oslip	Oslip	7064	Eisenstadt-Umgebung	Burgenland	47.8333333	16.6166667	1323	EU	17.83	133
43000016	10312	Purbach am Neusiedler See	Purbach am Neusiedler See	7083	Eisenstadt-Umgebung	Burgenland	47.9000000	16.6833333	2570	EU	45.84	128
43000017	10313	Sankt Margarethen im Burgenland	Sankt Margarethen im Burgenland	7062	Eisenstadt-Umgebung	Burgenland	47.8000000	16.6000000	2762	EU	26.54	151
43000018	10314	Schützen am Gebirge	Schützen am Gebirge	7081	Eisenstadt-Umgebung	Burgenland	47.8500000	16.6166667	1360	EU	21.20	130
43000019	10315	Siegendorf	Siegendorf	7011	Eisenstadt-Umgebung	Burgenland	47.7833333	16.5500000	2720	EU	23.06	176
43000020	10316	Steinbrunn	Steinbrunn	2491, 7035	Eisenstadt-Umgebung	Burgenland			1902	EU	15.41	241
43000021	10317	Trausdorf an der Wulka	Trausdorf an der Wulka	7061	Eisenstadt-Umgebung	Burgenland	47.8000000	16.5500000	1723	EU	15.44	151
43000022	10318	Wimpassing an der Leitha	Wimpassing an der Leitha	2485	Eisenstadt-Umgebung	Burgenland	47.9166667	16.4333333	1094	EU	7.91	222
43000023	10319	Wulkaprodersdorf	Wulkaprodersdorf	7041	Eisenstadt-Umgebung	Burgenland	47.8000000	16.5000000	1890	EU	12.22	171
43000024	10320	Loretto	Loretto	2443	Eisenstadt-Umgebung	Burgenland	47.9000000	16.5166667	363	EU	2.38	218
43000025	10321	Stotzing	Stotzing	2443	Eisenstadt-Umgebung	Burgenland	47.9000000	16.5500000	770	EU	12.91	253
43000026	10322	Zillingtal	Zillingtal	7024, 7033, 7034	Eisenstadt-Umgebung	Burgenland	47.8166667	16.4000000	850	EU	13.10	231
43000027	10323	Zagersdorf	Zagersdorf	7011	Eisenstadt-Umgebung	Burgenland	47.7666667	16.5166667	900	EU	7.30	180
43000028	10401	Bocksdorf	Bocksdorf	7551	Güssing	Burgenland	47.1333333	16.1666667	791	GS	9.99	244
43000029	10402	Burgauberg-Neudauberg	Burgauberg	8291	Güssing	Burgenland			723	GS	10.91	350
43000030	10402	Burgauberg-Neudauberg	Neudauberg	8292	Güssing	Burgenland			596	GS	10.91	350
43000031	10403	Eberau	Eberau	7521	Güssing	Burgenland	47.1000000	16.4666667	368	GS	30.75	214
43000032	10403	Eberau	Gaas	7521	Güssing	Burgenland	47.0833333	16.4666667	354	GS	30.75	214
43000033	10403	Eberau	Kroatisch Ehrensdorf	7522	Güssing	Burgenland	47.1166667	16.4000000	91	GS	30.75	214
43000034	10403	Eberau	Kulm im Burgenland	7521	Güssing	Burgenland	47.1000000	16.4500000	188	GS	30.75	214
43000035	10403	Eberau	Winten	7521	Güssing	Burgenland	47.1166667	16.4333333	80	GS	30.75	214
43000036	10404	Gerersdorf-Sulz	Gerersdorf bei Güssing	7542	Güssing	Burgenland	47.0666667	16.2500000	497	GS	21.63	240
43000037	10404	Gerersdorf-Sulz	Rehgraben	7540	Güssing	Burgenland	47.0833333	16.2333333	190	GS	21.63	240
43000038	10404	Gerersdorf-Sulz	Sulz im Burgenland	7542	Güssing	Burgenland	47.0666667	16.2666667	370	GS	21.63	240
43000039	10405	Güssing	Glasing	7540	Güssing	Burgenland	47.0333333	16.3666667	147	GS	49.31	229
43000040	10405	Güssing	Güssing	7540	Güssing	Burgenland	47.0666667	16.3333333	2898	GS	49.31	229
43000041	10405	Güssing	Krottendorf	7540	Güssing	Burgenland	47.0500000	16.3000000	215	GS	49.31	229
43000042	10405	Güssing	Sankt Nikolaus	7540	Güssing	Burgenland	47.0500000	16.3333333	221	GS	49.31	229
43000043	10405	Güssing	Steingraben	7542	Güssing	Burgenland	47.0666667	16.2666667	173	GS	49.31	229
43000044	10405	Güssing	Urbersdorf	7540	Güssing	Burgenland	47.0500000	16.3666667	248	GS	49.31	229
43000045	10406	Güttenbach	Güttenbach	7535	Güssing	Burgenland	47.1666667	16.3000000	1026	GS	15.90	263
43000046	10407	Heiligenbrunn	Deutsch Bieling	7522	Güssing	Burgenland	47.0166667	16.4333333	114	GS	33.51	223
43000047	10407	Heiligenbrunn	Hagensdorf im Burgenland	7522	Güssing	Burgenland	47.0166667	16.4500000	274	GS	33.51	223
43000048	10407	Heiligenbrunn	Heiligenbrunn	7522	Güssing	Burgenland	47.0333333	16.4166667	260	GS	33.51	223
